Palabra	Texto	Folio	Página
señor/señores/señorear	el <i>Guainacava</i> yba ofreçiendo a las <i>guacas</i> y <i>adoratorios</i> oro y plata y sacrefiçios y otras cosas y llegado a la <i>provinçia</i> de <i>Gu[a]ylas</i> yba dando a los <b>señores</b> dellas <i>ropas</i> de las del <i>Cuzco</i> y haçiendo merçedes a todos y a los <i>governadores</i> sacrificasen y ofreçiesen al sol y tobiesen toda raçon y justiçia como arriba va dicho	47r	199
señor/señores/señorear	y enbiaron a llamar al <b>señor</b> de <i>La Puna</i> y benidos que fueron se fueron con ellos en valsas y abajado Guirynacava [sic por <i>Guaynacava</i>] a la ysla y el <i>Guaynacava</i> se abajo al paso y [tomo] presos algunos <b>señores</b> de los <i>chunos</i> y <i>guancavelicas</i>. Los hizo matar y puso otros en su lugar; como todos le diesen obediençia, se torno a subir a los <i>cam[inos]</i>.	47r	199
señor/señores/señorear	[Guaynacava] yba visitando toda la tierra haçia <i>Quito</i> por todos los <i>puruaes</i> y llegado a <i>Quito</i> supo que estava un <b>señor</b> que se llamava <i>Otavalo</i> y señoreaba los <i>carangas</i> y posto [sic por <i>pastos</i>] y va sobre el con toda su gente y el otro saliole a reçevir con mucha gente açerca de una laguna frontero de una <i>provinçia</i> que llaman <i>Mira</i> y alli junto a la laguna se dieron una vatalla entranvos a dos que dizen ser la cosa mas reñida que entre <i>yndios</i> se vio	47v	200
señor/señores/señorear	y como <i>Guaynacava</i> traya la gente mas diestra en guerras y con mejores armas mataron tanta cantidad de los otros que la sangre de los muertos se torno la laguna de aquella color de sangre aunque de los de <i>Guaynacava</i> murieron muchos y mataron alli al <b>señor</b> de <i>Otavalo</i> y fuese el <i>Guaynacava</i> a su valle	47v	200
señor/señores/señorear	y tenia una <i>muger</i> aquel <b>señor</b> [Otavalo] muy hermosa y <i>señora de la tierra</i>  y [Guaynacava] tomola por <i>muger</i>	47v	200
señor/señores/señorear	Mediante este tiempo alla arriba en el <i>Cuzco</i> en una <i>provinçia</i> de <i>Andaguaylas</i> rebelose un <b>señor</b> contra el <i>Guascar</i> queriendole tomar - el <i>Cuzco</i> y pidio favor a los <b>señores</b> <i>guancas</i> de <i>Jauxa</i> que le guardasen aquel paso si <i>Guaynacava</i> biniese o enviase contra el gente y los <i>guancas</i> se le ofreçieron de lo haçer.	47v-48r	200-201
señor/señores/señorear	savido por el <i>Guascar</i> y por sus tios, adereçan su gente y vienen a reçevirle a la puente de <i>Apurima</i> y alli le desvarataron y bolvio fuyendo [sic por huyendo]. Yba tras el el <b>señor</b> de <i>Urcos</i> y <i>Moyna</i> con mucha gente. Yvale dando alcanze y el fuese retrayendo azia <i>Jauxa</i> creyendo que los <i>guancas</i> le favoreszerian y al fin fuese retrayendo haçia los <i>chachapoyas</i>	48r	201
señor/señores/señorear	yendo sobre el aquel <b>señor</b> se metio por aquella tierra adentro de los <i>chachapoyas</i> y metiose por un rio avajo y paso de la otra vanda adonde supieron que [a]via poblado una <i>provinçia</i>.	48r	201
señor/señores/señorear	entre tanto yba creçiendo el muchacho que avia naçido y açiendose hombre acoxiole por su ayo el <i>Guaynacava</i> a un <b>señor</b> que se llamaba <i>Noromiñabi</i> y mandole que no pasase su <i>señorio</i> de aquel moço mas de la <i>provinçia</i> de los <i>puruaes</i> y que <i>Tiquicangue</i> fuese el termino y que de alli adelante fue[ra]n los <I>cañares</i> sujetos al <i>Cuzco</i> y que aquel moço señorease haçia <i>Pasto</i> y fuese a conquistar a <i>Quellazinga</i> que agora llamamos Po... 	48r	201
señor/señores/señorear	[Atabalipa] haçe mucha gente y vienese haçia los <i>cañares</i> y no lo quisieron dejar pasar porque avia en la <i>provinçia</i> de los <i>cañares</i> mas de sesenta mil <i>yndios</i> y danle vatalla y desbaratanlo y prendenle a el y a su ayo y como el ayo fuese <b>señor</b> gano la voluntad de algunos <b>señores</b>  y tubo manera con ellos como los soltasen y los dexasen volver a su tierra.	48v	202
señor/señores/señorear	Destruio [Atabalipa] toda la <i>provinçia</i> y mato a muchos <b>señores</b> que no dexo diez mil <i>yndios</i> en toda la <i>provinçia</i>.	48v	202
señor/señores/señorear	De alli [Atabalipa] envio al <i>Cuzco</i> dos <i>capitanes</i>, el uno  el <i>Quizquiz</i> y el otro <i>Caricuchima</i> y que tubiesen manera como prendiesen al - <i>Guascar</i> … y que sobornasen a los <b>señores</b> para haçer aquella bellaqueria y trayçion.	48v-49r	202-203
señor/señores/señorear	Un dia le vino nuebas como su hermano el <i>Guascar</i> lo trayan ya preso y beniendo aquel <b>señor</b> ya preso con aquel <i>Quizquiz</i> y <I>Calicuchima</i> de los <i>yndios</i> que yban desvaratados, supo como estava preso su hermano <i>Atabalipa</i> y como avia dado a los cristianos aquel <i>buyo</i> de oro y plata	49v	204
señor/señores/señorear	oyo dezir al governador [Françisco Piarro] aquella palabra, llegado este mando a <i>Quizquiz</i> … quel <b>señor</b> creiendo quel avia de bivir.	50r	205
señor/señores/señorear	Su Magestad es obligado y debe a estos <b>señores</b> <i>yngas</i>	50r	205
señor/señores/señorear	Su Magestad - mande hazer merçedes a los <b>señores</b> [yngas] y dar de comer y tierras y a los demas se pondran por … alguaziles y que estos tengan <i>cuenta y razon</i> de la benta y mande a los <b>señores</b> dellas muestren y enseñen [el] <i>orden</i> que el <i>ynga</i> en todos los <i>reynos</i> y la <i>cuenta</i> de sus [tesoros], asi de las minas de oro como de plata como de la <i>ropa</i> y del <i>ganado</i> del <i>ynga</i>.	50r-50v	205-206
señor/señores/señorear	asimesmo del <i>ganado del sol</i> y de las <i>guacas</i> y <i>adoratorios</i> que en todas las <i>provinçias</i> abia y lo aclaren todo y al repartimiento de las tierras ansi las que eran del <i>señor ynga</i> como de las del sol, de los <i>yndios</i> que en cada <i>provinçia</i> ay el dia de oy para tasarlos lo que podran trebotar [sic por tributar] a sus encomenderos ... y restaurar a los <b>señores</b> en sus <i>señorios</i> y tornarles sus patrimonios porque ay algunos desposeidos de ellos ... como se sepa la cantidad de los <i>yndios</i> que obiere se les señalen tierras que puedan labrar asta diez anegas y ocho de tierras cada <i>yndio</i> con su <i>mujer</i> y ijos.	50v	206
señor/señores/señorear	y en <i>Quito</i> dizen fue alto de cuerpo y delgado y mui bien hablado en su <i>lengua</i> y amigo de pobres y honbre que oya a todos los menores de mui buen grado y al hombre que era malo aunque era <b>señor</b> mostravase contra el cruel y era hombre mui atentado que nunca el enojo le bençio ni por afiçion dexo de haçer justiçia y pues <b>señoreo</b> desde la <i>provinçia</i> de <i>Chile</i> hasta rio Caliente ques mas adelante de <i>Pasto</i> que ay del un cavo al otro pasadas de dos mil y doçientas leguas y la tierra dentro por los <i>Andes</i> y montañas zerca de ochenta o çien leguas desde la costa haçia alla	43r	191
señor/señores/señorear	dibio [sic por debio] de ser verdad porque <b>señoreo</b> por amor y temor y tubo en mucha raçon todos los <i>naturales</i> e hizo <i>caminos</i> por la sierra y por los valles y por los llanos y si avia menester escaleras de piedras las haçia en todos estos terminos y longura de tierra arriba ... haçiendo calzadas cortando peñas de manera que todo quedase ygual que fue cosa dina de entender y ber y saber y no ubo <b>señor</b> en el mundo 	43r	191
señor/señores/señorear	<b>señoreo</b> de tal manera que no se le revelo <b>señor</b> contra el - en todo este termino arriba dicho que no lo castigo con mucha prudençia por no usar crueldades ordeno de mudarles de unos valles a otros y de unas tierras a otras y a estos mudados llamavan los <i>yndios</i> <i>mitemaes</i> porque si en una <i>provinçia</i> avia un <b>señor</b> cruel o ynobediente a lo quel mandava mudavalo de aquella tierra o balle a el y a toda su generaçion y a todos los <i>yndios</i> que a el eran sujetos y de otro valle o <i>provinçia</i> traya otro alli a su tierra y ponialo alli de la misma manera que a el le mudava y les dava otras tantas tierras como en su tierra misma tenian	43r-43v	191-192
señor/señores/señorear	tubieron otra zerimonia los <i>yngas</i> y <b>señores</b> y fue que en una laguna questa en <i>Urcos</i>, ocho leguas o diez del <i>Cuzco</i>, sacaban agua della y en una pila que alli estava de piedra se labavan quando enpeçava a ser de dia aquellos <b>señores</b> que yban al sacrefiçio porque dezian que avia de entrar linpios en aquellas zerimonias y <i>casas del sol</i>.	45v	196
señora	Y como el governador Piçarro avia enviado al <i>inga</i> aquel quartago arriva dicho y el <i>ynga</i> lo avia enviado a llamar, fuimos alla con el a un <i>tanbo</i> questa en las espaldas de <i>Biticos</i>, arriva de <i>tanbo</i>, entre unas sierras y enbiamos mensajero al <i>inga</i> para que biniese a berse con el y el <i>ynga</i> hecho una çelada que tomase un paso para matar al gobernador Piçarro. Fue dios servido que andavamos çiertos soldados en un <i>pueblo</i> de <i>yndios</i> y bimos pasar unos <i>hindios</i> por la sierra a tomar el paso benimos a fisar al governador y salimonos uyendo y aorco el <i>ynga</i> al quartago de una peña - y como lo supiese el governador Piçarro enbio a su hermano Gonçalo Piçarro tras el <i>ynga</i> y prendile la <i>muger</i> que era una <i>señora coya</i> e hiçola aorcar y quemar. Dezia tantas lastimas aquella <b>señora</b> que a todos puso gran lastima.	29v - 30r	163 - 164
señora	y como tomase aquella <b>señora</b> por su <i>muger</i> empreñose del [de Guaynacava] y pario un hijo que se llamo <i>Atavalipa</i> tomando el nonbre del valle que se dezia <i>Otavalo</i>	47v	200
señora	Estava con el governador [Françisco Piçarro] una <i>lengua</i> que se llamaba [F]elipillo y este <i>Atabalipa</i> tenia una <i>india</i> <b>señora</b> mui hermosa que despues de bautizada la llamaron Angelina y esta <i>lengua</i> enamorado della arguyo el <i>Atabalipa</i> que queria rebelarse y matar a los cristianos e hiçoselo entender al governador. Creyendoselo Piçarro hazelo matar por donde pago el tirano [Atavalipa] la muerte de su hermano [Guascar]. Esta <i>lengua</i> fue el que se quiso rebelar en <i>Chile</i> y matar al adelantado Almagro y a su gente savido estar revelado el <i>Peru</i>.	50r	205
señora coya	Y como el governador Piçarro avia enviado al <i>inga</i> aquel quartago arriva dicho y el <i>ynga</i> lo avia enviado a llamar, fuimos alla con el a un <i>tanbo</i> questa en las espaldas de <i>Biticos</i>, arriva de <i>tanbo</i>, entre unas sierras y enbiamos mensajero al <i>inga</i> para que biniese a berse con el y el <i>ynga</i> hecho una çelada que tomase un paso para matar al gobernador Piçarro. Fue dios servido que andavamos çiertos soldados en un <i>pueblo</i> de <i>yndios</i> y bimos pasar unos <i>hindios</i> por la sierra a tomar el paso benimos a fisar al governador y salimonos uyendo y aorco el <i>ynga</i> al quartago de una peña - y como lo supiese el governador Piçarro enbio a su hermano Gonçalo Piçarro tras el <i>ynga</i> y prendile la <i>muger</i> que era una <b>señora coya</b> e hiçola aorcar y quemar. Dezia tantas lastimas aquella <i>señora</i> que a todos puso gran lastima.	29v - 30r	163 - 164
señora de la tierra	y tenia una <i>muger</i> aquel <i>señor</i> [Otavalo] muy hermosa y <b>señora de la tierra</b>  y [Guaynacava] tomola por <i>muger</i>	47v	200
señoras	aquella comida que en los <i>depositos</i> mandaba poner y ropa la que no fuese lana fina fuese para serviçio de los <i>yndios</i> de guerra e <i>yndias</i> que lo sirviesen. Puso en las <i>casas del sol</i> <b>señoras</b> que ellos llamaban paclas manaconas [sic por <i>pallas mamaconas</i>] para serviçio del sol y questas hiçiesen sus brevajes para quando fuesen a sacrificar al sol en sus tiempos conoçidos y questas <b>señoras</b> sirviesen tanbien que los <i>señores yngas</i> que alli fuesen partiçipaban con ellas e si se enpreñaban e parian hijas quedavanse alli y si hombres sacavanlos de alli des - pues de criados para la guerra	45r-45v	195-196
señores de las provinçias	y a los <i>señores</i> que governaron y poblaron aquel <i>reyno</i> del <i>Peru</i> y tubieron tanta prosperidad en la junta para queste reyno de España goçase como yo declarare en una memoria en esta coronica puesta y pedire a Vuestra Magestad y no solamente a los <i>yngas</i> se les debe tanto premio y galardon sino a los <b>señores de las provinçias</b> que sean anparados y favoresçidos y ponga Su Magestad sobre ellos bisitador que a los clerigos y frayles questan en las dotrinas en los monesterios que en las <i>provinçias</i> estan y por los valles no se les consientan usar de rescates ni tratos ni mercadear con los <i>yndios</i> conforme a raçon entiendan en la dotrina 	42v	190
señores naturales	pues esta tratado [en mi coronica] de las guerras y maldades que los españoles an avido por governar un <i>reyno</i> tan ynsine como el del <i>Peru</i> sera bien declarar la birtud que los <b>señores naturales</b> tubieron que aquellos <i>reynos</i> poblaron y ocuparon y de donde pudieron benir y de que tanto tienpo a esta parte y legitima verdad y raçon	41r	187
señores yngas	aquella comida que en los <i>depositos</i> mandaba poner y ropa la que no fuese lana fina fuese para serviçio de los <i>yndios</i> de guerra e <i>yndias</i> que lo sirviesen. Puso en las <i>casas del sol</i> <i>señoras</i> que ellos llamaban paclas manaconas [sic por <i>pallas mamaconas</i>] para serviçio del sol y questas hiçiesen sus brevajes para quando fuesen a sacrificar al sol en sus tiempos conoçidos y questas <i>señoras</i> sirviesen tanbien que los <b>señores yngas</b> que alli fuesen partiçipaban con ellas e si se enpreñaban e parian hijas quedavanse alli y si hombres sacavanlos de alli des - pues de criados para la guerra	45r-45v	195-196
señores yngas	tubieron los <b>señores yngas</b> otra zerimonia que quando salia del <i>Cuzco</i> [a] haçer alguna cosa que cunpliese y que fuese secreto, mandava yr delante mas de zien <i>yndios</i> que apartasen a todos los que topasen que en un quarto de legua no llegasen a donde el estava  porque no le ympidiesen ni viesen lo quel haçia porque todos no supiesen sus secretos.	45v	196
señorio/señorios	envio gente el <i>Guaynacava</i> a los <i>carangues</i> y <i>pastos</i> y truxolos de paz. Puso en orden toda la tierra y debaxo de su <b>señorio</b> y puso por las <i>provinçias</i> y valles <i>governadores</i> y anduvose mirando toda la tierra y holgandose.	47v	200
señorio/señorios	entre tanto yba creçiendo el muchacho que avia naçido y açiendose hombre acoxiole por su ayo el <i>Guaynacava</i> a un <i>señor</i> que se llamaba <i>Noromiñabi</i> y mandole que no pasase su <b>señorio</b> de aquel moço mas de la <i>provinçia</i> de los <i>puruaes</i> y que <i>Tiquicangue</i> fuese el termino y que de alli adelante fue[ra]n los <I>cañares</i> sujetos al <i>Cuzco</i> y que aquel moço señorease haçia <i>Pasto</i> y fuese a conquistar a <i>Quellazinga</i> que agora llamamos Po... 	48r	201
señorio/señorios	dixo [Guascar] que si a el le davan el <b>señorio</b> de la tierra aquellos cristianos y aquel capitan, le ynchiria el <i>buio</i> grande de oro y plata … y como el <i>Quizquiz</i> fuese muy abisado, envio al <i>Calicuchima</i>, el otro <i>capitan</i> dixese aquello al <i>Atabalipa</i> que no lo entendiesen los cristianos	49v	204
señorio/señorios	y como aquel tirano de <i>Atabalipa</i> lo supo temiendose que matarian a el y davan al <i>Guascar</i> el <b>señorio</b>, determina de haçerse malo y enbio a llamar al governador Piçarro que le benia nuebas que el <i>Guascar</i> su hermano era muerto y como el goernador lo oyo respondiole no se te de nada pues tu estas vivo y despacha <i>mensajero</i> que lo matasen. 	49v	204
señorio/señorios	asimesmo del <i>ganado del sol</i> y de las <i>guacas</i> y <i>adoratorios</i> que en todas las <i>provinçias</i> abia y lo aclaren todo y al repartimiento de las tierras ansi las que eran del <i>señor ynga</i> como de las del sol, de los <i>yndios</i> que en cada <i>provinçia</i> ay el dia de oy para tasarlos lo que podran trebotar [sic por tributar] a sus encomenderos ... y restaurar a los <i>señores</i> en sus <b>señorios</b> y tornarles sus patrimonios porque ay algunos desposeidos de ellos ... como se sepa la cantidad de los <i>yndios</i> que obiere se les señalen tierras que puedan labrar asta diez anegas y ocho de tierras cada <i>yndio</i> con su <i>mujer</i> y ijos.	50v	206
señorio/señorios	Dixole Hernando de Piçarro [a Mango Inga] que avia dicho [Guascar] antes que muriese que, si le daban el <b>señorio</b> y la <i>borla</i> de la tierra, que él daria más que su hermano <i>Atabalipa</i> avia dado como no le quebrasen bagisas [sic por vasijas] de oro / y plata, el <i>inga</i> [Mango Inga] le respondio que en aquel tiempo hera mochacho y que no tenia cuenta con ello y sus tios Ylaoma [sic por <i>Villac Umu</i>] [y] <i>Quiso Yupangue</i>, <i>señores</i>, lo avian escondido y que ya heran muertos	18r/18v	140-141
tambo real/tanbo real/tanbos reales/tanvos reales	ya el gobernador Piçarro habia enviado a Niculas de Ribera el viejo a ver a <i>Pachacama</i> creyendo de poblar alli y los <i>naturales</i> le llevaron al valle de <i>Lima</i> y le mostraron el puerto del Callao y de alli se subio al <b>tambo real</b> de <i>yunga</i> [sic por yngia] y alli fundo la <i>ciudad</i> de Los Reyes.	16r	136
tambo real/tanbo real/tanbos reales/tanvos reales	Llegaron los christianos a <i>Cajamarca</i> y pusieronse en el <b>tanbo real</b> y su artilleria en un asiento alto y <i>adoratorio</i>. Era Candia capitan del artilleria y el <i>Atabalipa</i> estava un poco mas adelante en otras <i>casas</i> con toda su gente 	49r	203
tambo real/tanbo real/tanbos reales/tanvos reales	teniendo <i>quenta</i> [el señor que los governava] en los <i>yndios</i> que avia para dar tributos enviava <i>yngas</i> de sus <i>capitanes</i> los mas viejos para que tubiesen <i>quenta y raçon</i> en las heredades y tierras y se las repartio a cada uno de los <i>yndios</i> y dexo tierras para serviçio de los <b>tanbos reales</b> que son <i>casas</i> que estan por los <i>caminos</i> en cada <i>provinçia</i>. 	44r	193
tambo real/tanbo real/tanbos reales/tanvos reales	proveyo [el governador] que se pusiese guarda en los <i>ganados</i> y tubiesen <i>quenta y raçon</i> en lo que montiplicaban [sic] para dar al sol el diezmo y la lana que se trasquilase del <i>ganado</i> fuese guardada en <i>depositos</i> para el sol y los <i>depositos</i> para su misma persona y de sus mismos tributos estubiese por si como lo del sol y se pusiese <i>yndios</i> que lo mirasen y guardasen que se llamaban <i>camayos</i> del sol y <i>camayos</i> del <i>ynga</i> y <i>camayos</i> de los <b>tanbos reales</b>; puso <i>mayordomos</i> en las minas de oro y plata	45r	195
tambo real/tanbo real/tanbos reales/tanvos reales	y al que le cupiese y pertenesçiese aderezar el <i>camino</i> lo tubiese adereçado y los <b>tanbos reales</b> y <i>casas de los caminos reales</i> estubiesen adereçados y proveydos de manera que todos tubiesen <i>justiçia y raçon</i>	46r	197
tambo real/tanbo real/tanbos reales/tanvos reales	como le deçian los <i>governadores</i> que avian muchas heredades que no llevavan fruto por falta de agua, haçeles y da endustria que saquen agua de los rios por azequias que nosotros llamamos arbanares y azeles yr dos leguas y una legua hasta que alcanze aquellas tierras con el agua y puesto todo esto en orden haceles que cada <i>parzelidad</i> tenga quenta de aderezar aquellas azequias si en los ynbiernos fortuytos las rompieran las aguas cada uno aderezase lo que le cupiese y de los <i>caminos reales</i> por el consiguiente y los <i>depositos</i> estubiesen aderezados y cubijados porque las aguas no los moxase en el ynbierno y los <b>tanvos reales</b> por el consiguiente estubiesen cubijados y adereçados por aquellos <i>prinçipales</i> y <i>mitimaes</i> mudados que arriba ba dicho y declarado.	44v	194
tambo real/tanbo real/tanbos reales/tanvos reales	y como el frayle le mostrase los ebangelios y los tomase el <i>Atabalipa</i> en las manos y no entendiese la letra, arrojolo por el suelo no haçiendo caso del enojose el padre … porque vieron que se le recogia mucha gente el tirano del <i>Atabalipa</i> determino de prender a los christianos y matarlos y sale un dia con toda su gente armada y vase para el aposento de los cristiaos y entra en los <b>tanvos</b> puesto en sus andas con toda su gente armada	49r	203
tambo/tanbo/tanvo/tanbos	Y como el governador Piçarro avia enviado al <i>inga</i> aquel quartago arriva dicho y el <i>ynga</i> lo avia enviado a llamar, fuimos alla con el a un <b>tanbo</b> questa en las espaldas de <i>Biticos</i>, arriva de <b>tanbo</b>, entre unas sierras y enbiamos mensajero al <i>inga</i> para que biniese a berse con el y el <i>ynga</i> hecho una çelada que tomase un paso para matar al gobernador Piçarro. Fue dios servido que andavamos çiertos soldados en un <i>pueblo</i> de <i>yndios</i> y bimos pasar unos <i>hindios</i> por la sierra a tomar el paso benimos a fisar al governador y salimonos uyendo y aorco el <i>ynga</i> al quartago de una peña - y como lo supiese el governador Piçarro enbio a su hermano Gonçalo Piçarro tras el <i>ynga</i> y prendile la <i>muger</i> que era una <i>señora coya</i> e hiçola aorcar y quemar. Dezia tantas lastimas aquella <i>señora</i> que a todos puso gran lastima.	29v - 30r	163 - 164
tambo pintado	Salimos de <i>Chincha</i> y fuimos al valle de <i>Limaycasca</i> que se dize <i>Sangallay</i> y tenia alli poblado Almagro un pueblo … fuimonos al <b>tambo pintado</b> porque el Adelantado don Diego de Almagro se subio por el valle arriba azia Guytara [sic por <i>Guaytara</i>]. Alli asentamos real y tuvimos neçesidad de comida y fue embiado a un Felipe Voscan al valle de <i>Yca</i> con gente que la truxese y fue con el un Villacastin vecino del conozco [sic por <i>Cuzco</i>]	27r	158
tambo/tanbo/tanvo/tanbos	que Su Magestad mande poblar la tierra, dar a los que lo meresçieren y que aya alguaziles por los <b>tanbos</b> y <i>casas</i> del <i>camino real</i> que los anpare y faboresca para que bendan sus aziendas y comidas y alpargatas y otras cosas a los que pasaren por los <i>caminos</i>	50v	206
tambo/tanbo/tanvo/tanbos	Y el governador arremete a las andas del <i>Atabalipa</i> y tiene dellas reçiamente dando voçes y como Candia obiese soltado la artilleria, de temor que tubieron los <i>yndios</i> buelben uyendo y aprietanse con una pared del <b>tanvo</b> que ayna la derrivaran. Prendieronle al tirano y dioles de miedo mucha plata y oro que les yncho el <i>buio</i> del sol.	49v	204
tambo/tanbo/tanvo/tanbos	Como <i>Guainacava</i> estuviese en <i>Quito</i> quiso haçer y fundar otro <i>Cuzco</i> en la <i>provinçia</i> de los <i>cañares</i> que llaman el <b>tanvo</b> de las piedras y mandava alli llegar muchas piedras para haçer su <i>casa</i> y el andabase olgando y paseandose	48r	201
Tangaralan	dellos y la mas y los caballeros llevo Almagro a San Miguel y lo poblo y despoblo a <b>Tangaralan</b> 	16r	136
Tanpo	Visto el pobre <i>señor</i> [Mango Inga] el poco remedio que tenia y no tener a quien se quexar, visto ser robada su <i>casa</i> y forçadas sus <i>mugeres</i>, se fuyo [sic por huyó] al balle del <b>Tanpo</b>, apellido todo el <i>reino</i> y puso cerco sobre el <i>Cusco</i>. 	18v	141
Tanpo	Así encaminada su gente de doze en doçe como digo vinieron proueidos de todo lo nesçesario y el quedose a la postre con algunos capitanes; luego se supo de su venida y como lo supiese el <i>ynga</i> que estaba sobre el <i>Cusco</i> y lo tenia zercado, alço el çerco y fuese al valle de <b>Tanpo</b> a verse con el adelantado y enviole sus <i>mensajeros</i> a hazerle saver el agravio que le avian hecho y sínjustiçia y mal tratamiento y estuvole esperando el adelantado en el valle de <i>Urcos</i>.	21r	146
Tapiparaguna	con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <b>Tapiparaguna</b>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol	42r	189
Tiquicangue	entre tanto yba creçiendo el muchacho que avia naçido y açiendose hombre acoxiole por su ayo el <i>Guaynacava</i> a un <i>señor</i> que se llamaba <i>Noromiñabi</i> y mandole que no pasase su <i>señorio</i> de aquel moço mas de la <i>provinçia</i> de los <i>puruaes</i> y que <b>Tiquicangue</b> fuese el termino y que de alli adelante fue[ra]n los <I>cañares</i> sujetos al <i>Cuzco</i> y que aquel moço señorease haçia <i>Pasto</i> y fuese a conquistar a <i>Quellazinga</i> que agora llamamos Po... 	48r	201
Topa Ynga Yupangui	porque yo no les alle mas raçon ni saber de los tienpos pasados de hasta la edad de <b>Topa Ynga Yupangui</b> que fue su padre de <i>Guinacaba</i> porqueste fue el primero en gran nobleça y los administro y governo en quieta paz y sosiego y conquisto toda la tierra hasta <i>Chile</i> y destotro cabo hasta los <i>carangas</i> ques cavo <i>pastos</i> y pasto y los puso en sacar oro y plata aunque dizen que de mucho tienpo los avian y los enpuso en afinar los metales de oro y de plata y conoçio el cobre y el estaño 	43r	191
Tucome	Los vecinos de Truxillo, como venia aquella gente y capitanes, mandaronme a mí, Alonso Borregán, que fuese al valle de <b>Tucome</b> a proveer a todas aquellas gentes que venian con el licenciado Hespinosa y con Çahera y con Garçilaso y otros capitales y los proveí de todo lo necesario con unos <i>señores</i> de aquel valle de <b>Tucome</b>, repartimiento de Juan Roldán y Juan de Osorno y míos.	20v	145
Tucuman	pues como Diego Çenteno se bolviese a los <i>Charcas</i> a do hera vezino y obiese quedado Piçarro a un Almendras por corregidor, matolo Diego Çenteno y alço bandera por Su Magestad y en el <i>Cuzco</i> avia quedado a Toro por corregidor y como lo supiese que se avia alzado Çenteno y [que] avia muerto al Almendras, hizo gente y fue sobre el. Avianse llegado con Diego Çenteno algunos soldados de los que avian ydo a <i>Chile</i> con Almagro que despues de la vatalla de <i>Chupas</i> avian entrado con Diego de Roxas por una <i>provinçia</i> que se dize <b>Tucuman</b> que confina con el rio de La Plata porque el governador Vaca de Castro le probeyo de capitan y murio el Roxas alla y toda la gente se salia desbaratada y mal proveyda y como llegase todo del <i>Cuzco</i> fueronse retrayendo haçia el repartimiento de Diego Çenteno que se llama La <i>Tutora</i> y bolviose Toro al <i>Cuzco</i>.	36r	176
Tucuyo	con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <b>Tucuyo</b>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol	42r	189
Tunbez	Como Zepeda tubiese preso al Bisorrey, enbiolo preso a Su Magestad con el liçençiado Albarez y como vido el liçençiado el yerro que se haçia, salio en el puerto de <b>Tunbez</b> con el y escrivio el Visorrey a La Culata y a Puerto Viejo y a <i>Quito</i> le acudiesen los vezinos con toda la gente que pudiesen.	34r	172
Tunbez	Vinieron - nuebas que avia el liçençiado Alvarez y el Visorrey desembarcado en <b>Tunbez</b> y Çepeda y Piçarro acordaron de enviar a Texada con las ynformaçiones a Su Magestad y luego proveyeron que fuese Machicao a <i>Panama</i> e hiçiese gente y guardase aquel paso	34r - 34v	172-173
Tunbez	y como el visorrey supiese quel Machicao benia, fuese haçia <i>Quito</i>; llego Machicao a <b>Tunbez</b> y como estava alli un pobre biejo en el <i>pueblo</i> [que] avia hecho regalos al desdichado visorrey, dale ciento açotes alrededor del <i>pueblo</i> de los <i>yndios</i>	34v	173
